text@ijs1984f	@ijs1984f	32.59	39.41	ты / проехавшись по городам / насколько поняла / эта тема нужна сейчас ? / о ней // вовремя ты начала говорить или нет ?
text@ijs1984f	@ijs1984f	80.23	82.903	они идут // там же название в афише
text@ijs1984f	@ijs1984f	115.21	117.742	а // у тебя есть объяснение почему они не знают ?
text@ijs1984f	@ijs1984f	157.78	158.08	да
text@ijs1984f	@ijs1984f	158.74	161.64	ааа // за / задницу потрогал / нет такого ?
text@ijs1984f	@ijs1984f	207.98	208.84	с Бенедиктовым
text@ijs1984f	@ijs1984f	209.1	209.77	с Алексеем Алексеевичем / да
text@ijs1984f	@ijs1984f	217.28	219.65	ну да он же извинился #нрзб# я извинился
text@ijs1984f	@ijs1984f	234.09	234.79	это сложно
text@ijs1984f	@ijs1984f	250.89	251.89	как неудобненько
text@ijs1984f	@ijs1984f	252.76	255.25	а самые жесткие // случаи домогательства
text@ijs1984f	@ijs1984f	303.32	303.97	фу !
text@ijs1984f	@ijs1984f	332.31	333.21	какая больница ?
text@ijs1984f	@ijs1984f	341.745	342.005	угу
words@joa1982f	@joa1982f	5.74	6.194	докарантинная
words@joa1982f	@joa1982f	6.194	6.648	эпоха
words@joa1982f	@joa1982f	6.648	7.102	да
words@joa1982f	@joa1982f	25.33	25.695	ждем
words@joa1982f	@joa1982f	25.695	26.06	пока
words@joa1982f	@joa1982f	26.06	26.425	Регина
words@joa1982f	@joa1982f	26.425	26.79	Тодоренко
words@joa1982f	@joa1982f	26.79	27.155	что-нибудь
words@joa1982f	@joa1982f	27.155	27.52	не
words@joa1982f	@joa1982f	27.52	27.885	то
words@joa1982f	@joa1982f	27.885	28.25	скажет
words@joa1982f	@joa1982f	28.25	28.62	и
words@joa1982f	@joa1982f	28.62	30.33	#смеется#
words@joa1982f	@joa1982f	30.33	30.735	и
words@joa1982f	@joa1982f	30.735	31.14	сразу
words@joa1982f	@joa1982f	31.14	31.545	заиграет
words@joa1982f	@joa1982f	31.545	31.95	эта
words@joa1982f	@joa1982f	31.95	32.356	тема
words@joa1982f	@joa1982f	39.76	40.032	я
words@joa1982f	@joa1982f	40.032	40.304	такая
words@joa1982f	@joa1982f	40.304	40.576	пишу
words@joa1982f	@joa1982f	40.576	40.848	концерт
words@joa1982f	@joa1982f	40.848	41.12	/
words@joa1982f	@joa1982f	41.12	41.392	значит
words@joa1982f	@joa1982f	41.392	41.664	для
words@joa1982f	@joa1982f	41.664	41.936	меня
words@joa1982f	@joa1982f	41.936	42.208	две
words@joa1982f	@joa1982f	42.208	42.48	важные
words@joa1982f	@joa1982f	42.48	42.752	там
words@joa1982f	@joa1982f	42.752	43.024	темы
words@joa1982f	@joa1982f	43.024	43.296	/
words@joa1982f	@joa1982f	43.296	43.568	харассмент
words@joa1982f	@joa1982f	43.568	43.84	значит
words@joa1982f	@joa1982f	43.84	44.112	одна
